trip_id,start_date,delay,day_of_week,time_stamp,stop_sequence,stop_id
545287163,"May 27, 2023",175,Saturday,10:55:11,91,23420
571963813,"May 27, 2023",221,Saturday,10:55:17,91,23593
537947763,"May 27, 2023",-157,Saturday,10:55:05,156,9895
616789533,"May 27, 2023",20,Saturday,10:51:40,386,23273
616789933,"May 27, 2023",294,Saturday,10:55:07,145,29920
616791153,"May 27, 2023",-98,Saturday,10:55:13,329,35231
616791323,"May 27, 2023",149,Saturday,10:55:04,1,9132
572987953,"May 27, 2023",424,Saturday,10:55:04,167,29260
572987963,"May 27, 2023",411,Saturday,10:55:05,77,12550
572987973,"May 27, 2023",203,Saturday,10:55:01,1,8402
55296531,"May 27, 2023",1379,Saturday,10:55:23,30,26701
55296532,"May 27, 2023",1098,Saturday,10:55:23,7,26689
55296533,"May 27, 2023",1165,Saturday,10:55:23,7,26689
55296534,"May 27, 2023",895,Saturday,10:55:23,7,26689
55296535,"May 27, 2023",817,Saturday,10:55:23,7,26689
55296587,"May 27, 2023",1268,Saturday,10:55:25,43,1630
55296588,"May 27, 2023",1165,Saturday,10:55:25,10,26702
55296589,"May 27, 2023",919,Saturday,10:55:25,10,26702
55296590,"May 27, 2023",963,Saturday,10:55:25,10,26702
608610183,"May 27, 2023",286,Saturday,10:55:13,1,10911
608610423,"May 27, 2023",456,Saturday,10:55:06,79,10990
608610613,"May 27, 2023",23,Saturday,10:55:03,32,11150
559955803,"May 27, 2023",-105,Saturday,10:55:19,248,49150
585706513,"May 27, 2023",214,Saturday,10:55:17,227,50320
569520843,"May 27, 2023",-167,Saturday,10:55:13,312,71336
597714603,"May 27, 2023",236,Saturday,10:55:13,1,71960
478033803,"May 27, 2023",949,Saturday,10:55:17,235,52800
478033833,"May 27, 2023",-183,Saturday,10:55:06,58,60710
585713163,"May 27, 2023",330,Saturday,10:55:11,107,60780
585713403,"May 27, 2023",191,Saturday,10:55:19,31,61060
585713983,"May 27, 2023",-73,Saturday,10:53:19,238,61313
585714223,"May 27, 2023",-916,Saturday,10:55:06,1,60921
585714433,"May 27, 2023",-83,Saturday,10:55:09,153,61190
585714643,"May 27, 2023",738,Saturday,10:51:30,262,80431
347619963,"May 27, 2023",51,Saturday,10:55:18,105,68398
347620003,"May 27, 2023",-56,Saturday,10:55:04,227,67540
347620283,"May 27, 2023",42,Saturday,10:55:03,1,71961
347620673,"May 27, 2023",247,Saturday,10:55:18,123,66875
347621023,"May 27, 2023",63,Saturday,10:52:55,249,74027
347621043,"May 27, 2023",61,Saturday,10:55:09,42,68130
572838063,"May 27, 2023",121,Saturday,10:55:02,1,67014
572840043,"May 27, 2023",83,Saturday,10:55:02,281,84827
497990073,"May 27, 2023",76,Saturday,10:55:04,318,67935
547536943,"May 27, 2023",221,Saturday,10:55:12,178,79880
546685213,"May 27, 2023",314,Saturday,10:55:00,212,18165
546685223,"May 27, 2023",-62,Saturday,10:55:05,159,19250
608813503,"May 27, 2023",197,Saturday,10:55:03,347,26665
608813533,"May 27, 2023",248,Saturday,10:55:11,15,17698
608813983,"May 27, 2023",202,Saturday,10:55:17,289,40050
608813993,"May 27, 2023",224,Saturday,10:55:19,204,18696
608814003,"May 27, 2023",-67,Saturday,10:55:17,134,26840
608814013,"May 27, 2023",-63,Saturday,10:55:19,32,590
608623493,"May 27, 2023",-262,Saturday,10:55:13,309,20220
608624113,"May 27, 2023",434,Saturday,10:55:05,336,1561
608624473,"May 27, 2023",-459,Saturday,10:55:19,168,19930
608624543,"May 27, 2023",-17,Saturday,10:55:05,232,19898
608624603,"May 27, 2023",241,Saturday,10:55:02,46,420
608624683,"May 27, 2023",21,Saturday,10:55:14,100,19740
581418423,"May 27, 2023",129,Saturday,10:52:25,254,490
581418433,"May 27, 2023",388,Saturday,10:55:15,166,13890
581418443,"May 27, 2023",346,Saturday,10:55:12,66,13660
581418453,"May 27, 2023",135,Saturday,10:55:18,1,28680
585624383,"May 27, 2023",189,Saturday,10:55:09,207,14320
585624413,"May 27, 2023",15,Saturday,10:55:15,131,14130
585624433,"May 27, 2023",185,Saturday,10:55:02,16,558
581421923,"May 27, 2023",197,Saturday,10:51:46,382,510
581421933,"May 27, 2023",-122,Saturday,10:55:14,329,6176
581421943,"May 27, 2023",-486,Saturday,10:55:18,239,75408
581421953,"May 27, 2023",63,Saturday,10:55:15,117,7080
581421963,"May 27, 2023",143,Saturday,10:55:04,56,75780
581421973,"May 27, 2023",116,Saturday,10:55:01,1,16100
585624373,"May 27, 2023",677,Saturday,10:55:17,286,7880
585624393,"May 27, 2023",985,Saturday,10:55:07,163,75409
585624403,"May 27, 2023",118,Saturday,10:55:06,196,7630
585624423,"May 27, 2023",396,Saturday,10:55:16,20,575
585624443,"May 27, 2023",-4,Saturday,10:55:16,11,538
478042343,"May 27, 2023",-188,Saturday,10:55:14,450,80150
585720883,"May 27, 2023",-273,Saturday,10:55:11,381,55942
585722033,"May 27, 2023",-19,Saturday,10:55:00,188,54205
608934113,"May 27, 2023",-41,Saturday,10:55:14,283,58113
608934883,"May 27, 2023",281,Saturday,10:55:11,1,52306
608935683,"May 27, 2023",31,Saturday,10:55:16,119,45320
608936133,"May 27, 2023",519,Saturday,10:55:03,418,46440
55295547,"May 27, 2023",121,Saturday,10:55:30,34,27420
55295548,"May 27, 2023",82,Saturday,10:55:26,9,1652
55295549,"May 27, 2023",203,Saturday,10:55:26,9,1652
55295550,"May 27, 2023",119,Saturday,10:55:26,9,1652
55295612,"May 27, 2023",93,Saturday,10:55:31,40,1681
55295613,"May 27, 2023",-6,Saturday,10:55:31,5,41980
55295614,"May 27, 2023",-6,Saturday,10:55:31,5,41980
55295615,"May 27, 2023",-127,Saturday,10:55:31,5,41980
581645433,"May 27, 2023",53,Saturday,10:55:09,458,81572
581645583,"May 27, 2023",70,Saturday,10:55:17,312,74234
581647063,"May 27, 2023",263,Saturday,10:55:06,320,74220
581647363,"May 27, 2023",203,Saturday,10:55:19,261,81430
581647373,"May 27, 2023",184,Saturday,10:55:05,40,70666
581645813,"May 27, 2023",627,Saturday,10:55:19,236,73840
581645823,"May 27, 2023",211,Saturday,10:55:17,1,69021
581646153,"May 27, 2023",218,Saturday,10:55:00,364,72230
581646163,"May 27, 2023",240,Saturday,10:55:05,69,71870
581646173,"May 27, 2023",-1052,Saturday,10:55:10,1,71828
581646443,"May 27, 2023",38,Saturday,10:55:04,381,70160
581646583,"May 27, 2023",-172,Saturday,10:55:08,154,82674
573069973,"May 27, 2023",1818,Saturday,10:55:17,849,47620
573069983,"May 27, 2023",59,Saturday,10:55:19,834,47600
573069993,"May 27, 2023",543,Saturday,10:55:01,294,57459
573070003,"May 27, 2023",127,Saturday,10:55:08,73,57518
585711033,"May 27, 2023",99,Saturday,10:55:04,647,57090
585711043,"May 27, 2023",173,Saturday,10:55:10,239,48840
587717193,"May 27, 2023",-53,Saturday,10:55:16,1,57600
498107903,"May 27, 2023",118,Saturday,10:55:05,389,49290
498107913,"May 27, 2023",267,Saturday,10:55:10,1,57452
573077893,"May 27, 2023",68,Saturday,10:55:02,21,52300
608926153,"May 27, 2023",74,Saturday,10:55:06,370,57409
608926263,"May 27, 2023",174,Saturday,10:55:02,1,57774
608926383,"May 27, 2023",9,Saturday,10:55:02,646,59860
608926693,"May 27, 2023",476,Saturday,10:55:00,176,80610
608926813,"May 27, 2023",-124,Saturday,10:55:16,54,59902
553239853,"May 27, 2023",397,Saturday,10:55:00,177,17024
553240393,"May 27, 2023",118,Saturday,10:55:14,120,17100
553240743,"May 27, 2023",16,Saturday,10:55:01,21,9587
605373883,"May 27, 2023",429,Saturday,10:55:17,269,21250
605373893,"May 27, 2023",215,Saturday,10:55:15,185,22010
605373903,"May 27, 2023",84,Saturday,10:55:12,15,433
605374603,"May 27, 2023",387,Saturday,10:55:08,420,548
605374613,"May 27, 2023",46,Saturday,10:55:09,396,1561
605374623,"May 27, 2023",209,Saturday,10:55:10,125,22256
605374633,"May 27, 2023",293,Saturday,10:55:13,1,52303
562566073,"May 27, 2023",127,Saturday,11:55:03,83,2330
562566763,"May 27, 2023",313,Saturday,11:55:03,105,2150
562561663,"May 27, 2023",75,Saturday,11:55:16,30,1190
541098773,"May 27, 2023",39,Saturday,11:55:19,201,79570
585708613,"May 27, 2023",41,Saturday,11:55:11,21,55939
585709903,"May 27, 2023",426,Saturday,11:55:17,324,99252
546688973,"May 27, 2023",480,Saturday,11:55:11,166,56151
546688993,"May 27, 2023",245,Saturday,11:55:06,40,8608
571853963,"May 27, 2023",308,Saturday,11:55:16,384,55812
571854163,"May 27, 2023",360,Saturday,11:55:05,174,55180
571854873,"May 27, 2023",110,Saturday,11:55:06,1,46464
608919403,"May 27, 2023",275,Saturday,11:55:05,389,46235
608919433,"May 27, 2023",182,Saturday,11:55:04,44,79521
608919443,"May 27, 2023",172,Saturday,11:55:14,93,46040
608919453,"May 27, 2023",8,Saturday,11:55:17,393,30320
546690113,"May 27, 2023",534,Saturday,11:55:14,110,12410
546690123,"May 27, 2023",485,Saturday,11:55:13,1,1085
546690503,"May 27, 2023",-50,Saturday,11:55:16,1,12210
497742863,"May 27, 2023",157,Saturday,11:55:07,71,13340
556197953,"May 27, 2023",502,Saturday,11:52:10,391,60922
556197963,"May 27, 2023",234,Saturday,11:55:19,102,21940
556204493,"May 27, 2023",173,Saturday,11:55:07,36,21360
585378093,"May 27, 2023",-137,Saturday,11:55:06,500,36140
556204723,"May 27, 2023",602,Saturday,11:55:03,360,21370
556204933,"May 27, 2023",447,Saturday,11:55:14,137,60920
556205143,"May 27, 2023",131,Saturday,11:55:12,388,61040
556205153,"May 27, 2023",461,Saturday,11:55:14,119,36480
556205163,"May 27, 2023",2,Saturday,11:55:03,1,37130
540496373,"May 27, 2023",206,Saturday,11:55:01,87,2180
540496923,"May 27, 2023",553,Saturday,11:55:06,59,2330
581131643,"May 27, 2023",122,Saturday,11:55:06,283,48346
581131653,"May 27, 2023",273,Saturday,11:55:02,38,515
581131993,"May 27, 2023",244,Saturday,11:55:12,39,47840
581132323,"May 27, 2023",260,Saturday,11:55:15,487,50061
581132333,"May 27, 2023",419,Saturday,11:55:04,109,45910
581132343,"May 27, 2023",85,Saturday,11:55:11,1,7430
585374093,"May 27, 2023",-12,Saturday,11:51:43,507,605
585374103,"May 27, 2023",205,Saturday,11:55:02,308,49732
585374113,"May 27, 2023",64,Saturday,11:55:06,1,52304
562566113,"May 27, 2023",484,Saturday,11:55:15,31,8403
562566393,"May 27, 2023",291,Saturday,11:55:03,80,12010
608919413,"May 27, 2023",108,Saturday,11:55:11,71,60220
559957743,"May 27, 2023",-107,Saturday,11:55:09,479,99254
559957863,"May 27, 2023",114,Saturday,11:55:04,38,99271
559957893,"May 27, 2023",-322,Saturday,11:55:18,349,58132
561665483,"May 27, 2023",192,Saturday,11:54:47,483,50779
561665853,"May 27, 2023",-40,Saturday,11:55:06,1,1215
585708343,"May 27, 2023",164,Saturday,11:55:03,1,57458
585709583,"May 27, 2023",-707,Saturday,11:55:13,1,57458
585709603,"May 27, 2023",298,Saturday,11:55:04,231,58102
585709613,"May 27, 2023",295,Saturday,11:55:03,99,79237
585709753,"May 27, 2023",346,Saturday,11:55:07,215,80720
585709833,"May 27, 2023",289,Saturday,11:55:12,525,660
561674553,"May 27, 2023",-49,Saturday,11:55:04,209,62151
585718933,"May 27, 2023",427,Saturday,11:55:04,224,62294
608920953,"May 27, 2023",122,Saturday,11:55:09,469,80433
608920973,"May 27, 2023",-9,Saturday,11:55:17,140,59120
608920983,"May 27, 2023",234,Saturday,11:55:13,76,83709
608921003,"May 27, 2023",-166,Saturday,11:55:14,1,59282
608921563,"May 27, 2023",38,Saturday,11:55:17,234,60634
608921583,"May 27, 2023",118,Saturday,11:55:01,82,61342
608920633,"May 27, 2023",-411,Saturday,11:52:34,344,85914
608924533,"May 27, 2023",200,Saturday,11:55:09,166,85964
608924633,"May 27, 2023",78,Saturday,11:55:19,1,57459
540496783,"May 27, 2023",114,Saturday,11:55:08,1,2550
540497673,"May 27, 2023",487,Saturday,11:55:01,200,3037
540497693,"May 27, 2023",78,Saturday,11:55:19,1,2850
540497703,"May 27, 2023",-102,Saturday,11:55:18,1,2850
608814973,"May 27, 2023",673,Saturday,11:55:04,9,400
608814983,"May 27, 2023",110,Saturday,11:55:18,51,22700
608815003,"May 27, 2023",1241,Saturday,11:55:03,80,15201
608815383,"May 27, 2023",400,Saturday,11:55:03,194,15205
572830253,"May 27, 2023",-135,Saturday,11:55:03,297,72435
572830693,"May 27, 2023",1131,Saturday,11:53:48,685,73080
572830703,"May 27, 2023",85,Saturday,11:55:03,229,74154
473803523,"May 27, 2023",137,Saturday,11:55:07,228,13890
556198283,"May 27, 2023",174,Saturday,11:55:07,1,30635
556205763,"May 27, 2023",348,Saturday,11:55:14,178,24540
